SampleIndex,FileName,mean_1,mean_2,mean_3,mean_4,mean_5,mean_6,mean_7,mean_8,mean_9,mean_10,variance_1,variance_2,variance_3,variance_4,variance_5,variance_6,variance_7,variance_8,variance_9,variance_10,skewness_1,skewness_2,skewness_3,skewness_4,skewness_5,skewness_6,skewness_7,skewness_8,skewness_9,skewness_10,kurtosis_1,kurtosis_2,kurtosis_3,kurtosis_4,kurtosis_5,kurtosis_6,kurtosis_7,kurtosis_8,kurtosis_9,kurtosis_10,torso_BW_1,torso_BW_2,torso_BW_3,torso_BW_4,torso_BW_5,torso_BW_6,torso_BW_7,torso_BW_8,torso_BW_9,torso_BW_10,total_BW_1,total_BW_2,total_BW_3,total_BW_4,total_BW_5,total_BW_6,total_BW_7,total_BW_8,total_BW_9,total_BW_10,total_BW_offset_1,total_BW_offset_2,total_BW_offset_3,total_BW_offset_4,total_BW_offset_5,total_BW_offset_6,total_BW_offset_7,total_BW_offset_8,total_BW_offset_9,total_BW_offset_10,total_torso_BW_offset_1,total_torso_BW_offset_2,total_torso_BW_offset_3,total_torso_BW_offset_4,total_torso_BW_offset_5,total_torso_BW_offset_6,total_torso_BW_offset_7,total_torso_BW_offset_8,total_torso_BW_offset_9,total_torso_BW_offset_10
1,1P36A01R01_SVD.mat,1.49179197998045,1.81260661678638,1.54238601688563,-1.82595831781055,-3.12530287667263,-2.5116097144577,-0.328596261096363,1.63180661159718,1.86500865686868,7.10857937544527e-06,76801.4258858632,77206.9064087783,77376.3598797786,78001.9637289593,77927.5985042328,76757.0685280732,77286.2811789303,76491.5211452254,77232.6437099873,77994.3902097542,-0.0192280769264141,-0.0225674963865164,-0.0198845045962533,0.0113618776170368,0.0223388855973868,0.0178388266098436,-0.00190685940957698,-0.0206019336427924,-0.0229946624474825,-0.00496147283911524,1.93626295240438,1.92409289983725,1.92151128049512,1.90738982980309,1.90624925432134,1.93863157368346,1.92735311299778,1.94301217774878,1.92397171042143,1.73509882618184,18.0555555555556,22.0075757575758,24.2171717171717,14.6464646464646,13.8005050505051,21.9318181818182,33.7373737373737,22.3232323232323,17.209595959596,31.3005050505051,76.0858585858586,81.4520202020202,77.8914141414141,61.2121212121212,64.0277777777778,101.212121212121,76.8055555555556,97.790404040404,68.5353535353535,69.0656565656566,-76.0858585858586,-81.4520202020202,-77.8914141414141,-61.2121212121212,-64.0277777777778,-101.212121212121,-76.8055555555556,-97.790404040404,-68.5353535353535,-69.0656565656566,-18.0555555555556,-22.0075757575758,-24.2171717171717,-14.6464646464646,-13.8005050505051,-21.9318181818182,-33.7373737373737,-22.3232323232323,-17.209595959596,-31.3005050505051
2,1P36A01R02_SVD.mat,-3.349942678018,-2.63253800433339,-0.114066031722568,1.74708820787595,1.89645637312556,-0.651571880153529,-3.03297009054584,-3.03200242012885,-1.46168802986617,1.13401014658957,77702.4249827589,76750.0871318428,77375.8673356926,76580.9065382391,77349.313438414,78055.893111702,77327.7941154561,76933.4304988556,77257.9132757597,77037.6598828754,0.0248312886224126,0.0187224349466158,-0.00410205550886277,-0.0216291353086245,-0.0230982401027136,0.000622515771182734,0.0221127046015028,0.0221808729166345,0.00829639163646111,-0.0142876800656336,1.91249012416212,1.93859010474507,1.92598990986129,1.94061677097736,1.92044273671389,1.90781820648496,1.9223178140562,1.9324749610797,1.92949786176191,1.75672411979192,12.6641414141414,21.9823232323232,25.9722222222222,25.0126262626263,26.5782828282828,18.1313131313131,19.4823232323232,8.96464646464647,34.7348484848485,13.5984848484848,59.2424242424242,93.9141414141414,77.1590909090909,95.7954545454545,91.0732323232323,65.3409090909091,70.5681818181818,62.1969696969697,87.4747474747475,68.6868686868687,-59.2424242424242,-93.9141414141414,-77.1590909090909,-95.7954545454545,-91.0732323232323,-65.3409090909091,-70.5681818181818,-62.1969696969697,-87.4747474747475,-68.6868686868687,-12.6641414141414,-21.9823232323232,-25.9722222222222,-25.0126262626263,-26.5782828282828,-18.1313131313131,-19.4823232323232,-8.96464646464647,-34.7348484848485,-13.5984848484848
3,1P36A01R03_SVD.mat,-2.83668398509631,-1.06282601166427,0.915414997785243,2.00406642211598,1.59455439376361,-0.246414128190585,-2.97958699308561,-3.06196928818563,-2.32441439007696,-0.851054553360326,76864.4219480052,76919.7506381728,76865.8092567511,76619.2504920687,77211.7134931703,78004.2960893107,77639.7525269627,77331.0316998155,77059.0321659852,77370.2116540268,0.020500298584564,0.00482066307559773,-0.013793223453755,-0.0244376177241586,-0.0203707126513129,-0.00293746838361244,0.0215400571537724,0.0220819954135834,0.0160338803641824,0.00257427287001476,1.93488430971483,1.9379690838565,1.93683384024776,1.93941151256242,1.92579426023408,1.90909430122746,1.91433314848162,1.92028700705576,1.93207606066006,1.75163045791523,17.3737373737374,47.6893939393939,39.8737373737374,19.7222222222222,39.6212121212121,30,15.0252525252525,16.0227272727273,31.5277777777778,37.9419191919192,83.030303030303,103.787878787879,106.717171717172,75.3030303030303,110.164141414141,73.1565656565657,83.9520202020202,89.1666666666667,103.85101010101,77.9671717171717,-83.030303030303,-103.787878787879,-106.717171717172,-75.3030303030303,-110.164141414141,-73.1565656565657,-83.9520202020202,-89.1666666666667,-103.85101010101,-77.9671717171717,-17.3737373737374,-47.6893939393939,-39.8737373737374,-19.7222222222222,-39.6212121212121,-30,-15.0252525252525,-16.0227272727273,-31.5277777777778,-37.9419191919192
4,1P37A01R01_SVD.mat,0.899754983553187,0.865737619124742,-2.39994782943222,-2.99141900224978,-2.63163112332731,-1.66020837349289,0.953552500926101,1.42487117359683,1.45898341328635,0.942782595848265,78138.8494377188,77725.1029777438,77781.0278061361,77398.7683192395,76786.1024360245,77494.1004881969,76927.1652841635,77149.4544700395,77573.7759912207,77567.2861574026,-0.0133581150357344,-0.0130257755074636,0.0155757767202395,0.020802981224245,0.0177812094698916,0.00919999995904125,-0.013730774337931,-0.0179163008021561,-0.0182508547782027,-0.0124562488584119,1.9032758958963,1.91351895914496,1.91161986406891,1.91927323646287,1.93585895251456,1.9216839739758,1.93368672884234,1.92553228558163,1.91514946249136,1.74306213649944,19.6843434343434,23.989898989899,30.719696969697,19.0530303030303,29.6085858585859,38.9393939393939,16.8686868686869,11.4393939393939,21.8308080808081,8.47222222222222,63.6489898989899,69.5454545454545,93.1565656565657,63.8510101010101,98.4722222222222,84.3560606060606,67.5883838383838,48.9267676767677,64.9621212121212,35.2146464646465,-63.6489898989899,-69.5454545454545,-93.1565656565657,-63.8510101010101,-98.4722222222222,-84.3560606060606,-67.5883838383838,-48.9267676767677,-64.9621212121212,-35.2146464646465,-19.6843434343434,-23.989898989899,-30.719696969697,-19.0530303030303,-29.6085858585859,-38.9393939393939,-16.8686868686869,-11.4393939393939,-21.8308080808081,-8.47222222222222
5,1P37A01R02_SVD.mat,0.400728008509461,1.31205457001824,-1.93897223161204,-2.99209367850256,-2.91548071007317,-1.82648669411509,0.74263032440733,1.61103981831352,1.6801178188761,-0.148460944750046,78512.6589440148,77611.8735179567,77760.6653939312,77506.0354037351,76685.5518687399,77430.9209306142,77072.7070802964,76812.517980328,77482.9019605746,77923.332049112,-0.00861317136039314,-0.0170724699409018,0.0119145628260044,0.0210188028191656,0.0202435248677283,0.0109645566976497,-0.0120746016903682,-0.0201131154064647,-0.0205016909091243,-0.00354512693534383,1.8955813041358,1.91599500119022,1.91260479816162,1.91621376660159,1.93786503300329,1.92311136241454,1.93139583575121,1.93371320527611,1.91691114434192,1.73616582685049,15.4924242424242,30.7449494949495,24.4065656565657,15.7575757575758,19.0782828282828,32.8914141414141,29.2676767676768,9.30555555555556,20.7449494949495,18.6111111111111,51.3510101010101,81.5530303030303,74.6212121212121,66.3636363636364,67.8156565656566,81.540404040404,81.9318181818182,47.7525252525253,69.1919191919192,57.3484848484849,-51.3510101010101,-81.5530303030303,-74.6212121212121,-66.3636363636364,-67.8156565656566,-81.540404040404,-81.9318181818182,-47.7525252525253,-69.1919191919192,-57.3484848484849,-15.4924242424242,-30.7449494949495,-24.4065656565657,-15.7575757575758,-19.0782828282828,-32.8914141414141,-29.2676767676768,-9.30555555555556,-20.7449494949495,-18.6111111111111
6,1P37A01R03_SVD.mat,1.03875275981394,0.317371949883991,-3.01929532470315,-3.26102051490265,-2.58767940091015,-0.527037876132026,1.63359804975482,1.54185573353064,1.30463890951763,-1.67889849850594,78004.8811316979,77744.6100440719,77621.9928506119,76990.8350440397,76993.5785679809,77304.9818244449,76208.9491573304,77271.128498058,77654.7574161983,77727.6971236105,-0.0143629030493364,-0.00804612764416128,0.0215517760014715,0.0236605967748608,0.0175738729325841,-0.000754114698955643,-0.0204040450207021,-0.019144598072521,-0.0169178339161068,0.00864040451630137,1.90564877882583,1.91399039756695,1.91437245055866,1.92937488473838,1.93112696813082,1.92608158308483,1.95023759467775,1.92220552166167,1.91386461476592,1.74080791490908,24.1161616161616,28.5606060606061,22.3484848484848,16.0227272727273,27.8409090909091,36.969696969697,14.4444444444444,20.7070707070707,24.760101010101,29.3560606060606,68.2575757575758,73.6616161616162,75.4040404040404,69.2550505050505,99.7979797979798,79.1035353535353,76.1489898989899,65.1767676767677,74.9494949494949,66.1111111111111,-68.2575757575758,-73.6616161616162,-75.4040404040404,-69.2550505050505,-99.7979797979798,-79.1035353535353,-76.1489898989899,-65.1767676767677,-74.9494949494949,-66.1111111111111,-24.1161616161616,-28.5606060606061,-22.3484848484848,-16.0227272727273,-27.8409090909091,-36.969696969697,-14.4444444444444,-20.7070707070707,-24.760101010101,-29.3560606060606
7,1P38A01R01_SVD.mat,0.525504997995827,0.881936539467929,-2.2651571659971,-2.87842778645272,-2.29838928212661,0.537620101824241,1.52847126744156,1.51594551702197,-0.492883204217531,-2.92953792339891,78199.192392296,77845.7594807189,77700.7248009699,77739.4338288317,77153.273904085,77186.3418955034,77038.5920848283,77385.9343204931,77957.8723360962,77732.3909171824,-0.0101455529416564,-0.0135025589867812,0.0148591636597236,0.0201844848754128,0.014924988786433,-0.0105116461410595,-0.0196072015270693,-0.0193275107208386,-0.00100210618811922,0.018802685556678,1.90205829604512,1.91064912830118,1.91399942730198,1.91077284949864,1.92725662945852,1.9283353919119,1.92888013343146,1.92057392528262,1.90896799012676,1.73778483862686,23.8257575757576,6.84343434343434,26.5782828282828,17.2727272727273,18.7121212121212,11.1616161616162,19.5075757575758,19.0151515151515,23.2449494949495,19.4318181818182,68.0176767676768,42.6136363636364,71.8308080808081,69.0782828282828,72.8535353535353,66.0227272727273,60.239898989899,61.0858585858586,61.0479797979798,62.5631313131313,-68.0176767676768,-42.6136363636364,-71.8308080808081,-69.0782828282828,-72.8535353535353,-66.0227272727273,-60.239898989899,-61.0858585858586,-61.0479797979798,-62.5631313131313,-23.8257575757576,-6.84343434343434,-26.5782828282828,-17.2727272727273,-18.7121212121212,-11.1616161616162,-19.5075757575758,-19.0151515151515,-23.2449494949495,-19.4318181818182
8,1P38A01R02_SVD.mat,0.786906340855028,-0.161224843902419,-3.5334710507856,-2.11903455902826,1.89024076462942,2.76640008476052,-0.542314702222828,-3.60436708825346,-2.31731754646424,0.933544679417903,78127.1673057773,77602.3944422392,77137.0622000996,76584.1148935965,76437.1501008226,76926.5390219862,77614.5714783315,77197.3589709722,76659.9435066822,76464.3777653757,-0.0127010686291466,-0.004009163894993,0.0265316739815508,0.0137145933586364,-0.0230794957284823,-0.0316872273468405,-0.000773621821314624,0.0270950531889847,0.0157395080868774,-0.0128019681970023,1.90422453120122,1.9170426520488,1.9259052172711,1.94108096693465,1.94570384418441,1.93074445412131,1.91713129327388,1.92392501741774,1.94064048962252,1.76801530154726,21.2626262626263,31.5025252525253,23.7247474747475,25.8964646464646,14.9747474747475,7.22222222222222,12.6641414141414,22.7146464646465,34.5328282828283,30.8712121212121,55.530303030303,68.5858585858586,83.0808080808081,105.454545454545,70.2777777777778,56.1616161616162,56.8308080808081,87.1085858585859,101.45202020202,91.0479797979798,-55.530303030303,-68.5858585858586,-83.0808080808081,-105.454545454545,-70.2777777777778,-56.1616161616162,-56.8308080808081,-87.1085858585859,-101.45202020202,-91.0479797979798,-21.2626262626263,-31.5025252525253,-23.7247474747475,-25.8964646464646,-14.9747474747475,-7.22222222222222,-12.6641414141414,-22.7146464646465,-34.5328282828283,-30.8712121212121
9,1P38A01R03_SVD.mat,1.31884318793621,-1.4877302737508,-3.73736820525695,-0.814279079116823,2.0348423806425,2.05115856606934,-2.14970571033217,-3.26098295901062,-0.392201758615898,2.11163833556336,77713.3612244311,77581.2128802556,77011.6886541298,76880.6961389251,76463.4828752485,77457.2551951959,77782.3563177809,77244.7669480603,76935.9186491441,76606.1435721813,-0.0175977591588605,0.00813842821166346,0.0284363921029064,0.00213502157160903,-0.0245213948476269,-0.0245204155820666,0.0141700483253811,0.0240790273830372,-0.00174339010680982,-0.022905796370922,1.91385469969887,1.91755347728403,1.92853089574459,1.93629459221529,1.94311162526452,1.91867198493373,1.91247010256112,1.92318313055056,1.93505602876826,1.76332278318856,29.6843434343434,29.0025252525253,19.6464646464646,36.1742424242424,11.3762626262626,13.5353535353535,21.8560606060606,18.4974747474747,34.6843434343434,10.9974747474747,83.6616161616162,79.6717171717172,80.5934343434343,92.4368686868687,61.9065656565657,67.1464646464647,72.6388888888889,75.530303030303,85.8712121212121,59.0656565656566,-83.6616161616162,-79.6717171717172,-80.5934343434343,-92.4368686868687,-61.9065656565657,-67.1464646464647,-72.6388888888889,-75.530303030303,-85.8712121212121,-59.0656565656566,-29.6843434343434,-29.0025252525253,-19.6464646464646,-36.1742424242424,-11.3762626262626,-13.5353535353535,-21.8560606060606,-18.4974747474747,-34.6843434343434,-10.9974747474747
10,1P39A01R01_SVD.mat,0.321941696057757,-2.48880483097419,-2.5406214377345,-2.32711176563988,-0.951085621827831,1.30858583549858,1.35810197688714,1.34917813577612,-0.782530614739132,-2.71701708273555,77855.3338745941,77445.0626160682,77542.1727491221,77286.8550085533,77531.4805834986,77007.1989265016,77279.9529325327,77600.0215891939,77818.76122934,77736.3793419319,-0.00829591616014485,0.0164378237993513,0.0167518469546366,0.0149313955338748,0.0030445638788599,-0.0170881696365925,-0.0176540863720651,-0.0175483995949619,0.00140351578879391,0.0166038237530288,1.91107595592325,1.91996916022419,1.91632522886629,1.92273043835963,1.9195463541804,1.93059188297461,1.92273708554451,1.91532722402181,1.91147515501831,1.73773754682162,16.2878787878788,18.8383838383838,14.229797979798,21.4772727272727,26.9444444444444,19.3813131313131,14.5833333333333,12.3863636363636,12.7020202020202,15.1767676767677,59.6590909090909,62.5252525252525,55.0126262626263,95.959595959596,67.2727272727273,76.8055555555556,54.0277777777778,51.7929292929293,57.0580808080808,49.8989898989899,-59.6590909090909,-62.5252525252525,-55.0126262626263,-95.959595959596,-67.2727272727273,-76.8055555555556,-54.0277777777778,-51.7929292929293,-57.0580808080808,-49.8989898989899,-16.2878787878788,-18.8383838383838,-14.229797979798,-21.4772727272727,-26.9444444444444,-19.3813131313131,-14.5833333333333,-12.3863636363636,-12.7020202020202,-15.1767676767677
