SampleIndex,FileName,mean_1,mean_2,mean_3,mean_4,mean_5,mean_6,mean_7,mean_8,mean_9,mean_10,mean_11,mean_12,mean_13,mean_14,mean_15,mean_16,mean_17,mean_18,mean_19,mean_20,variance_1,variance_2,variance_3,variance_4,variance_5,variance_6,variance_7,variance_8,variance_9,variance_10,variance_11,variance_12,variance_13,variance_14,variance_15,variance_16,variance_17,variance_18,variance_19,variance_20,skewness_1,skewness_2,skewness_3,skewness_4,skewness_5,skewness_6,skewness_7,skewness_8,skewness_9,skewness_10,skewness_11,skewness_12,skewness_13,skewness_14,skewness_15,skewness_16,skewness_17,skewness_18,skewness_19,skewness_20,kurtosis_1,kurtosis_2,kurtosis_3,kurtosis_4,kurtosis_5,kurtosis_6,kurtosis_7,kurtosis_8,kurtosis_9,kurtosis_10,kurtosis_11,kurtosis_12,kurtosis_13,kurtosis_14,kurtosis_15,kurtosis_16,kurtosis_17,kurtosis_18,kurtosis_19,kurtosis_20,torso_BW_1,torso_BW_2,torso_BW_3,torso_BW_4,torso_BW_5,torso_BW_6,torso_BW_7,torso_BW_8,torso_BW_9,torso_BW_10,torso_BW_11,torso_BW_12,torso_BW_13,torso_BW_14,torso_BW_15,torso_BW_16,torso_BW_17,torso_BW_18,torso_BW_19,torso_BW_20,total_BW_1,total_BW_2,total_BW_3,total_BW_4,total_BW_5,total_BW_6,total_BW_7,total_BW_8,total_BW_9,total_BW_10,total_BW_11,total_BW_12,total_BW_13,total_BW_14,total_BW_15,total_BW_16,total_BW_17,total_BW_18,total_BW_19,total_BW_20,total_BW_offset_1,total_BW_offset_2,total_BW_offset_3,total_BW_offset_4,total_BW_offset_5,total_BW_offset_6,total_BW_offset_7,total_BW_offset_8,total_BW_offset_9,total_BW_offset_10,total_BW_offset_11,total_BW_offset_12,total_BW_offset_13,total_BW_offset_14,total_BW_offset_15,total_BW_offset_16,total_BW_offset_17,total_BW_offset_18,total_BW_offset_19,total_BW_offset_20,total_torso_BW_offset_1,total_torso_BW_offset_2,total_torso_BW_offset_3,total_torso_BW_offset_4,total_torso_BW_offset_5,total_torso_BW_offset_6,total_torso_BW_offset_7,total_torso_BW_offset_8,total_torso_BW_offset_9,total_torso_BW_offset_10,total_torso_BW_offset_11,total_torso_BW_offset_12,total_torso_BW_offset_13,total_torso_BW_offset_14,total_torso_BW_offset_15,total_torso_BW_offset_16,total_torso_BW_offset_17,total_torso_BW_offset_18,total_torso_BW_offset_19,total_torso_BW_offset_20
1,1P36A01R01_SVD.mat,1.27883686790251,1.72076841081214,1.84284056879658,1.77511029412097,2.13383682784729,0.800072270387537,-1.39902052272806,-2.43159322226985,-3.19690807535559,-3.00063844023239,-2.70956354519043,-2.14042692557804,-1.12145821380394,0.771162596190036,1.60307590418885,1.73219202602692,2.19820457953963,1.37427576712049,0.0405195594817478,-0.287179293375812,76701.6864670976,76890.2977211992,77083.0064889878,77345.8134525176,76967.4087235684,77842.7059987575,78161.9101221426,77821.578055164,78222.8085377352,77533.4157935144,76666.1404341247,76864.2332648613,77545.583345629,76922.8264138206,76276.8988937739,76853.0110200012,77193.9809167299,77282.6258557793,77822.5591971284,78473.0874762666,-0.0170293032819074,-0.0215808422597428,-0.0228655162904002,-0.0221958397925701,-0.0254131515270409,-0.012937980635094,0.00761750634513286,0.016663047185196,0.0228597223551623,0.0214108089876296,0.0194757470267316,0.0147103400262467,0.00548313427847096,-0.0122087987453548,-0.0202570798695317,-0.0216740984395208,-0.0262063507547449,-0.0181948380229893,-0.00572517358457899,-0.00193005752038379,1.94022959617516,1.93252073378606,1.92690121973737,1.92096654485748,1.93062529466763,1.91119870485454,1.90426650763211,1.91064657088166,1.89867539685641,1.9164913925106,1.94018603785874,1.93711194153095,1.92130956129213,1.93558483702818,1.94883370680463,1.93323176862974,1.92380534558409,1.92439426305851,1.91287605170492,1.17602028798012,32.55,19.2,17.575,35.925,28.2,26.975,14.55,16.45,14.65,16.725,19.875,25.725,33.975,41.15,22,30.875,19.05,35.25,41.775,14.825,94.4,77.575,73.75,115.6,86.7,77.4,57.15,68.075,65.75,81.525,108.075,91.375,70.65,92.1,99,115.925,72.95,85.075,89.875,34.85,-94.4,-77.575,-73.75,-115.6,-86.7,-77.4,-57.15,-68.075,-65.75,-81.525,-108.075,-91.375,-70.65,-92.1,-99,-115.925,-72.95,-85.075,-89.875,-34.85,-32.55,-19.2,-17.575,-35.925,-28.2,-26.975,-14.55,-16.45,-14.65,-16.725,-19.875,-25.725,-33.975,-41.15,-22,-30.875,-19.05,-35.25,-41.775,-14.825
2,1P36A01R02_SVD.mat,-3.48356169892569,-3.20702852854566,-3.02026596214686,-2.18878277744712,-1.02379718103664,0.971433386468715,1.66289565242143,1.82755535331762,2.12247963102283,1.65852899617387,0.240028458700662,-2.06145625610169,-2.75820685216477,-3.28466991462596,-3.1776818747317,-2.90689992490032,-2.44962480417411,0.164863051975795,1.01081135009888,1.44315119681229,77775.7762856631,77612.1305984065,76594.1310076362,76924.5859205457,77701.133291602,76990.0378443502,76432.9709836063,76793.202785425,77017.8956719447,77688.3631168459,78265.6368404365,77858.4603525126,77636.3991290501,77026.9310604928,77120.4612955912,76625.7971150119,76785.9276988763,77884.1525090047,77170.1267336399,76652.0254796789,0.0260287576351176,0.0235530381061008,0.0221250899601001,0.0148222673590433,0.00429376966774022,-0.0141364035243003,-0.020861768972544,-0.0223624481669127,-0.0251942363414315,-0.0208788805238695,-0.0074955672912084,0.0134638302483003,0.0195531206380463,0.0244660378606353,0.0233901426688498,0.0211913372412528,0.0173340338933959,-0.0065276771705679,-0.0145046437863937,-0.0116345864335837,1.91056051792121,1.91484111979671,1.9409226894862,1.93596039169759,1.91876623446836,1.93443542455549,1.94421328060706,1.93539866906386,1.92850011721151,1.9123514542409,1.90310879663456,1.91207471717076,1.91448091037768,1.93001013117148,1.92701691742825,1.94110103088095,1.94074839132268,1.91511156916407,1.92996389854775,1.20261970532904,13.525,13.1,20.4,23.8,44.925,27.775,21.05,28.45,27.1,30.95,32.875,18.075,20.625,21.575,14.625,35.25,39,32.05,45.85,9.55,61.1,67.15,109.225,77.65,80.7,86.875,95.15,94.175,80.425,109.4,82.275,67.25,72,77.7,71.9,123.075,99.5,70.275,104.075,54.3,-61.1,-67.15,-109.225,-77.65,-80.7,-86.875,-95.15,-94.175,-80.425,-109.4,-82.275,-67.25,-72,-77.7,-71.9,-123.075,-99.5,-70.275,-104.075,-54.3,-13.525,-13.1,-20.4,-23.8,-44.925,-27.775,-21.05,-28.45,-27.1,-30.95,-32.875,-18.075,-20.625,-21.575,-14.625,-35.25,-39,-32.05,-45.85,-9.55
3,1P36A01R03_SVD.mat,-3.10037129976261,-2.55433414168098,-1.90818372415833,-0.186894430047018,0.323665834827938,1.60991749676701,1.72625480329943,2.34314546789916,1.8081570849242,1.27072086987038,0.171264591304584,-0.917466593883586,-2.92055020097812,-3.31677884006195,-3.03925514945137,-3.00407476154197,-2.57941540375548,-1.86362029077877,-0.958214188457086,-0.438106622581294,76911.5499695228,76818.1673929601,76879.6437182759,76960.8971735593,77243.8399343483,76467.8768688579,76678.7417412282,76555.0108812381,76879.1398430085,77678.904080983,78108.8922560622,77845.0183004095,77624.7145554244,77709.685080594,77503.33986452,77025.2952777331,76866.2714162036,77290.2370101291,77437.4859475605,77292.7179337249,0.0227856457306809,0.0180488762902533,0.0125241783183789,-0.0031446068147773,-0.00801452905570896,-0.0205923137768045,-0.0217531430163579,-0.027678063383675,-0.0223515733540684,-0.0173320432221473,-0.00690250639320753,0.00345276619446912,0.0211761778044493,0.0242208750718085,0.0217493726758571,0.0218099335306032,0.0182426383919768,0.0120296773569722,0.00384342856482752,-0.000610743320756138,1.93295964181661,1.93682402653869,1.93848184475826,1.93753974681016,1.92931896551376,1.9444037346344,1.93847235188593,1.94058577111131,1.93408533035515,1.91426850087508,1.9055333149532,1.9145733974542,1.91561573414289,1.91036559705746,1.91559325361085,1.92898204991751,1.93569059431051,1.92826265802259,1.92524438612611,1.19578078437768,18.025,26.875,45.875,50.25,49.475,31.225,39.175,23.05,45.875,41.2,28.375,41.225,14.825,16.675,17.825,14.05,29.75,43.15,42.775,30.075,79,108.275,109.9,97.8,95.8,125.075,127.675,74.45,114.5,113.625,74.925,77.475,84.075,84.975,102.8,79.875,115.425,96.25,84.875,57.575,-79,-108.275,-109.9,-97.8,-95.8,-125.075,-127.675,-74.45,-114.5,-113.625,-74.925,-77.475,-84.075,-84.975,-102.8,-79.875,-115.425,-96.25,-84.875,-57.575,-18.025,-26.875,-45.875,-50.25,-49.475,-31.225,-39.175,-23.05,-45.875,-41.2,-28.375,-41.225,-14.825,-16.675,-17.825,-14.05,-29.75,-43.15,-42.775,-30.075
4,1P37A01R01_SVD.mat,0.315566045933747,1.48939864931673,1.37974598387648,0.262315336198922,-2.12817578731862,-2.74951643803388,-3.00683932674741,-2.97586612855332,-2.6830921185334,-2.50957756929912,-2.24554745806906,-0.840039267306743,0.929507327920783,1.12018234469841,1.37855073296896,1.54552841054088,1.57984493738123,1.37790347312476,1.57973268813989,-0.325194043519375,78599.7898196662,77675.613965342,77679.3524677008,77757.0567763613,77869.3050228163,77693.5294039231,77572.6836190926,77178.3590742975,76767.0238392508,76831.3429914953,77200.8790476695,77891.4909042043,77131.0214693958,76596.8474930241,77145.3793970119,77241.7979814276,77440.7236142159,77633.2647981479,77156.4806003858,78336.0972171821,-0.00826034162779266,-0.0185042965791157,-0.0175456696121187,-0.0077171425169809,0.0131849267452926,0.0186419690637956,0.020903503476595,0.0207160909984417,0.018221133237414,0.0167170835487045,0.0143620270044841,0.00196943929099725,-0.0135188671093005,-0.0151925838843509,-0.0174983380080207,-0.0189857791527568,-0.0193064472229882,-0.0175491260790556,-0.0192754406078459,-0.0016107828194331,1.89357977355634,1.913001341883,1.91397944266835,1.91347081871884,1.91007816521248,1.91297741635481,1.91493187737349,1.92485201896423,1.9360099582858,1.9351422467275,1.92807165057511,1.91306988185693,1.92926610139506,1.94056178947189,1.92614334066462,1.92267359861844,1.91804461095301,1.91404625457005,1.92618059184874,1.17878888134808,28.05,22.825,27.2,21.725,41.525,22.25,21.65,18.875,34.075,36.675,42.35,35.925,18,17.35,23.95,17.225,24.225,5.55,14.25,18.325,74.15,70.675,73.9,66.475,109.6,83.025,69.8,61.625,117.2,112.975,98.925,64.6,66.925,72.65,78.1,53.225,66.6,46.725,47.5,38.725,-74.15,-70.675,-73.9,-66.475,-109.6,-83.025,-69.8,-61.625,-117.2,-112.975,-98.925,-64.6,-66.925,-72.65,-78.1,-53.225,-66.6,-46.725,-47.5,-38.725,-28.05,-22.825,-27.2,-21.725,-41.525,-22.25,-21.65,-18.875,-34.075,-36.675,-42.35,-35.925,-18,-17.35,-23.95,-17.225,-24.225,-5.55,-14.25,-18.325
5,1P37A01R02_SVD.mat,-0.213176849098529,1.03825043606015,1.38361672261785,1.21228617041052,-1.18494029931881,-2.84111645987987,-3.0792737986907,-2.94287719685238,-2.9407582326792,-2.85165868054913,-2.14536734915097,-1.21696367706318,0.446735804828178,1.20334402995445,1.49401952424625,1.8680797711705,1.75315717137923,1.53512241794292,0.478873070642246,-1.67577188611684,78970.4963095874,78034.3925969541,77529.2038465697,77723.3002792625,77995.3808457462,77470.6872297854,77424.9677025859,77544.0148570838,76766.6412073047,76597.0517181549,77019.1299573011,77946.3925318374,77443.887146926,76575.4243115525,76675.4345454304,77044.2730741462,77511.063407346,77437.5503532255,78070.7668968865,77896.9167249899,-0.00294583058880189,-0.0145015200799553,-0.0177705815266353,-0.0161080351923205,0.00536534168121114,0.019761556632314,0.0217705779760354,0.0205877156531214,0.0204761624641366,0.0196840480682646,0.0136413955758689,0.00575922726115288,-0.00926110209081591,-0.016447813512354,-0.0190987380752505,-0.0223540348059243,-0.0211884984789049,-0.0191624478118347,-0.00942168958882442,0.00601238295606214,1.88567596537536,1.90589797960118,1.91755137961396,1.91382734693084,1.90830660506119,1.91816427349877,1.91810214226853,1.91531328605603,1.93560094519788,1.94061821431703,1.9324214027607,1.91173371419018,1.92316005823242,1.94191884954293,1.93751337682735,1.92731085155141,1.91531229700866,1.91928687152907,1.90635216345302,1.18465568688259,15.425,26.175,27.375,35.225,25.95,26.8,18.75,16.8,17.875,28.2,48.075,36.425,32.475,28.925,22.975,14.575,22.6,24.175,28.625,24.3,50,70.1,76.9,90.175,70.625,82.175,68.65,72.65,65.525,97.425,112.775,70.125,75.875,97.575,82.6,54.225,75.25,73.75,71.6,53.325,-50,-70.1,-76.9,-90.175,-70.625,-82.175,-68.65,-72.65,-65.525,-97.425,-112.775,-70.125,-75.875,-97.575,-82.6,-54.225,-75.25,-73.75,-71.6,-53.325,-15.425,-26.175,-27.375,-35.225,-25.95,-26.8,-18.75,-16.8,-17.875,-28.2,-48.075,-36.425,-32.475,-28.925,-22.975,-14.575,-22.6,-24.175,-28.625,-24.3
6,1P37A01R03_SVD.mat,1.10191024843246,0.981287701225903,0.93479343378643,-0.404509901343082,-2.69688068597794,-3.4268398838583,-3.3109237145089,-3.16107627108191,-2.85673566541544,-2.23555252251934,-1.3933186760429,0.718862317583454,1.52168774088968,1.75008429332939,1.66519425102785,1.40530697371515,1.58979038450798,0.620582376958897,-1.47095028735469,-2.25997503980057,77975.9474049014,78028.3286298845,77677.4230933801,77815.8773916234,77732.2178407342,77498.8207895862,77304.3352650191,76637.9460618569,76888.0360817501,77130.9117741743,77436.305182568,77030.369924756,76113.192437466,76457.1466663661,77036.7303160996,77583.2772238814,77427.3080287563,77918.0659293071,77695.0267694067,77738.8754663883,-0.0149480145086324,-0.0138291449241348,-0.0135132701718873,-0.00164574142548144,0.0186589013327972,0.0251962588773007,0.0241383500139719,0.0227184694114689,0.0200220561678293,0.0143832045809269,0.00701206690383554,-0.0119392814289413,-0.0194248252570965,-0.0213806470476236,-0.0202906568829116,-0.017845586595565,-0.0195377975824563,-0.0107355568509797,0.00765243056271649,0.00906689991526321,1.90611017518149,1.90533407386695,1.91508065868397,1.91284108365306,1.91252504197564,1.91631947672191,1.92150997415045,1.9383297041133,1.93240486596903,1.9293312344165,1.92296954167186,1.93270864523224,1.95317321202088,1.94312341250328,1.92815417583049,1.91432660566515,1.91899365467091,1.90869180494568,1.91600063412552,1.1865392282631,24.725,31.6,38.075,27.85,31.75,18.1,18.525,23.95,27.75,36.125,40.35,42.975,25.4,21.575,23.375,25.225,30.075,20.15,33.8,23.725,70.65,83.825,90.225,69.325,85.575,73.625,74.075,93.95,121.525,90.225,83.35,90.225,107.475,76.1,67.7,75.4,84.15,62.975,72.85,56.55,-70.65,-83.825,-90.225,-69.325,-85.575,-73.625,-74.075,-93.95,-121.525,-90.225,-83.35,-90.225,-107.475,-76.1,-67.7,-75.4,-84.15,-62.975,-72.85,-56.55,-24.725,-31.6,-38.075,-27.85,-31.75,-18.1,-18.525,-23.95,-27.75,-36.125,-40.35,-42.975,-25.4,-21.575,-23.375,-25.225,-30.075,-20.15,-33.8,-23.725
7,1P38A01R01_SVD.mat,-0.12837633528043,1.19089612618376,1.13255362675693,0.545882049735718,-1.69705952588381,-2.91863707231065,-2.95348016981817,-2.78635600334193,-2.71678246232411,-1.62699635000478,0.0495120616640107,1.21726934348015,1.45333830770034,1.62973537910429,1.50077408334448,1.43297517808589,0.212091273498335,-1.79173353752522,-2.99595855389745,-2.9913969855958,78624.8035898165,77765.2259968563,77853.2462921601,77843.1231984091,77710.7667136649,77686.3908128534,77935.9498782317,77524.8533896537,77344.0996277337,76927.5159625263,77311.7340140592,76959.3181141901,76976.3585266793,77231.4675994109,77385.3209407086,77455.6977141924,78173.9628666363,77703.8793199327,77614.4852290358,77968.082985397,-0.00409948179821025,-0.0163000438078199,-0.0157870445494472,-0.0104361622223219,0.00986395617745124,0.0205941023136221,0.020913389386536,0.019317970970212,0.0186989123955114,0.00887156999422374,-0.0060312470876239,-0.0167703132547384,-0.0189366936874707,-0.0204591858289472,-0.0191738752288388,-0.0185708116817605,-0.00729485778697995,0.0106218739066118,0.0212640187702756,0.0131699208377069,1.8923302804423,1.91198447041131,1.91004734223921,1.911209351198,1.91501755258229,1.91288524370652,1.9057873755925,1.91621865306146,1.92109067800165,1.93465752699872,1.92618660662115,1.93268133232604,1.93066537038686,1.92374424091921,1.92011467407238,1.91950038813855,1.90375060567517,1.9152828581,1.91451167306134,1.18110542423575,15.45,33.25,8.575,9.75,37.725,23.275,17.675,17.975,19.925,28.125,47.1,15.9,20.9,22.55,23.45,28.85,24.425,36.975,22.2,11.95,48.775,90.475,42.75,50.225,80.4,74.85,72.325,74.125,83.95,76.15,79.225,75.825,62.65,63.525,65.8,79.6,60.675,78.275,66.375,47.825,-48.775,-90.475,-42.75,-50.225,-80.4,-74.85,-72.325,-74.125,-83.95,-76.15,-79.225,-75.825,-62.65,-63.525,-65.8,-79.6,-60.675,-78.275,-66.375,-47.825,-15.45,-33.25,-8.575,-9.75,-37.725,-23.275,-17.675,-17.975,-19.925,-28.125,-47.1,-15.9,-20.9,-22.55,-23.45,-28.85,-24.425,-36.975,-22.2,-11.95
8,1P38A01R02_SVD.mat,-0.080218988957292,1.67135008569262,1.20500405272972,-1.69350511488287,-3.36468840529157,-3.69494090307551,-3.05052743532154,-0.928843216938349,1.38091746369594,2.64473286662324,2.83257317315734,2.71453297209863,0.222819998734013,-2.15271653082887,-3.44363336101283,-3.80898963806728,-3.18642993735361,-0.928139038078862,0.723439490173692,1.75155055006479,78954.9666746627,77283.5814324778,77441.3015738442,77739.2479768725,77159.2141105052,77118.7792220543,76564.4090107376,76623.1536195559,76481.2309895602,76371.0472940631,76961.8636368078,76841.2078012844,77724.4229718846,77592.4899981054,77548.6743035083,76748.9372764583,76311.1669659293,77183.1563117961,76433.1372008759,76194.7893698343,-0.00476321414852615,-0.020799263828185,-0.0162683603264565,0.00976321515929509,0.024957996469884,0.0280307999710039,0.0220122418525461,0.00310951309848508,-0.0179850993091374,-0.0305514205551874,-0.032332009189922,-0.0311725734278124,-0.00751196854699276,0.0137793973823725,0.0255813109825447,0.0290479335553492,0.0236178530898715,0.00316325449463794,-0.0119696973506297,-0.0136139090365659,1.88504393178071,1.92375716284316,1.9202366922408,1.91445077283309,1.92584747575165,1.92574237507251,1.9394339253972,1.94269281983616,1.94594395781193,1.94553234035504,1.92979304335091,1.93298645914131,1.91486927960374,1.91720562361165,1.91517186011372,1.93510188738691,1.94822831094148,1.92929987940002,1.94622203618096,1.20897942624037,11.525,39.7,38.15,31.375,34.075,19.7,27.875,40.5,40.45,13.9,26.825,14.75,19.2,30.8,21.45,24.85,37.675,45.975,40.525,23.15,49.175,80.9,75.375,70,103.7,78,122.95,101.5,93.325,66.35,89.5,69.5,62.925,74.225,94.7,89.525,122.375,91.65,103.85,81.7,-49.175,-80.9,-75.375,-70,-103.7,-78,-122.95,-101.5,-93.325,-66.35,-89.5,-69.5,-62.925,-74.225,-94.7,-89.525,-122.375,-91.65,-103.85,-81.7,-11.525,-39.7,-38.15,-31.375,-34.075,-19.7,-27.875,-40.5,-40.45,-13.9,-26.825,-14.75,-19.2,-30.8,-21.45,-24.85,-37.675,-45.975,-40.525,-23.15
9,1P38A01R03_SVD.mat,0.714155309859899,1.94070173848674,-0.162892906865462,-2.96109118136273,-3.79923603012338,-3.64223090363582,-1.73038930226999,0.454531843051743,1.87824626452864,2.23182847097759,2.16839065124598,1.67890803282603,-1.7320643297472,-2.99006737080845,-3.4679074519617,-2.85460662869345,-1.26627429628123,1.09908523413732,2.13273487363336,2.19843187286201,77923.14702341,77493.6666172241,77740.8988132425,77435.1912621711,77407.7997416624,76475.4930509446,76635.1754823291,77102.124416918,76245.4670805669,76850.9094758647,77566.1439940405,77442.4283053165,77661.7556556877,77902.0784934228,77475.8956131661,76687.0445214833,77265.4700381673,76663.7815109951,76521.8282702712,76830.3581479376,-0.0119023429802289,-0.0234538265340791,-0.00383986306953428,0.0214657385628244,0.0289444686303318,0.0276379001118896,0.0104658470837257,-0.00944383144010806,-0.0230754963418179,-0.0263481279133016,-0.0256801823258413,-0.0209497207992392,0.0105651443232237,0.0215603271769706,0.0259327991635654,0.0204491839530357,0.00631926885124053,-0.0155061420141967,-0.0253574568187517,-0.0161567677936521,1.9097568665985,1.91818053243064,1.91486417950847,1.91980884614458,1.91853526084802,1.94208370704983,1.94171060993047,1.93161911550789,1.94880931373025,1.93290116678494,1.91521749383334,1.92032519748292,1.91721119421499,1.9071341054764,1.91722295174663,1.93757296084721,1.92712850169659,1.94140088756613,1.94218904302423,1.19858571959284,28.75,31.95,30.125,31.525,23,23.075,34.275,39.775,21.825,15.425,19.375,35.6,28.3,19.675,20.775,29.475,43.075,39.125,25.75,12.075,67.325,105.55,72.05,90.8,88.825,97.175,102.95,79.675,96.025,61.9,79.275,87.85,69.675,81.325,78.65,131.05,95,91.675,93.325,42.075,-67.325,-105.55,-72.05,-90.8,-88.825,-97.175,-102.95,-79.675,-96.025,-61.9,-79.275,-87.85,-69.675,-81.325,-78.65,-131.05,-95,-91.675,-93.325,-42.075,-28.75,-31.95,-30.125,-31.525,-23,-23.075,-34.275,-39.775,-21.825,-15.425,-19.375,-35.6,-28.3,-19.675,-20.775,-29.475,-43.075,-39.125,-25.75,-12.075
10,1P39A01R01_SVD.mat,0.459077108045544,0.133343101364276,-2.51834613857963,-2.48198959788671,-2.66782950689919,-2.39594352553436,-2.40098934109898,-2.25415570817317,-1.80253155978474,0.256545692858262,1.34536591726336,1.24113506743505,1.38342660292922,1.37695567234523,1.41910538088996,1.2887307266485,0.218745506503228,-2.47710220718268,-2.77873272610723,-2.65336699164174,78247.1473095743,77456.2564103081,77346.3716945125,77548.4117912006,77675.4627306003,77389.1642166462,77339.7585639504,77211.7176528562,77345.7309127411,77707.325502478,76953.0402470783,77072.1857869692,77094.5909967753,77521.4873767379,77606.5719017542,77604.9681126379,77994.7676320756,77674.3006717627,77612.3444978941,77919.7113476539,-0.00952797289203223,-0.0066078337571327,0.0167139911688286,0.016353143302567,0.0178623812578096,0.0154950888875183,0.0155444050761775,0.0143336447548696,0.0105276406321291,-0.00757910233359546,-0.0173691995795341,-0.0165567742571125,-0.0178748128642988,-0.0178322249942274,-0.0181820862143453,-0.0169782734783157,-0.00739865801330709,0.0163093237819458,0.0188401323329368,0.0109282551197855,1.90156893921571,1.92076981521478,1.92237819482738,1.91736963709006,1.91318675896333,1.91998571683589,1.92117958290842,1.92486505977769,1.92357780342118,1.91585045569906,1.93234630447436,1.92837592629702,1.92725588237203,1.91677467973763,1.91505489926759,1.91552063128423,1.9076021139581,1.91451094734232,1.91463873118304,1.18206966336071,26.15,22.425,21.65,17.575,18.125,14.025,21,22.4,26.05,32.175,27.25,19.875,14.825,16.025,11.525,15.85,28.4,19.9,18.25,9.6,72.75,69.15,64.775,62.925,64.025,55.9,94.75,97.375,72.55,64.725,85.125,82.95,54.575,56.05,52.6,55.575,73.425,66.35,58.225,32.15,-72.75,-69.15,-64.775,-62.925,-64.025,-55.9,-94.75,-97.375,-72.55,-64.725,-85.125,-82.95,-54.575,-56.05,-52.6,-55.575,-73.425,-66.35,-58.225,-32.15,-26.15,-22.425,-21.65,-17.575,-18.125,-14.025,-21,-22.4,-26.05,-32.175,-27.25,-19.875,-14.825,-16.025,-11.525,-15.85,-28.4,-19.9,-18.25,-9.6
