SampleIndex,FileName,mean_1,mean_2,mean_3,mean_4,mean_5,mean_6,mean_7,mean_8,mean_9,mean_10,variance_1,variance_2,variance_3,variance_4,variance_5,variance_6,variance_7,variance_8,variance_9,variance_10,skewness_1,skewness_2,skewness_3,skewness_4,skewness_5,skewness_6,skewness_7,skewness_8,skewness_9,skewness_10,kurtosis_1,kurtosis_2,kurtosis_3,kurtosis_4,kurtosis_5,kurtosis_6,kurtosis_7,kurtosis_8,kurtosis_9,kurtosis_10,torso_BW_1,torso_BW_2,torso_BW_3,torso_BW_4,torso_BW_5,torso_BW_6,torso_BW_7,torso_BW_8,torso_BW_9,torso_BW_10,total_BW_1,total_BW_2,total_BW_3,total_BW_4,total_BW_5,total_BW_6,total_BW_7,total_BW_8,total_BW_9,total_BW_10,total_BW_offset_1,total_BW_offset_2,total_BW_offset_3,total_BW_offset_4,total_BW_offset_5,total_BW_offset_6,total_BW_offset_7,total_BW_offset_8,total_BW_offset_9,total_BW_offset_10,total_torso_BW_offset_1,total_torso_BW_offset_2,total_torso_BW_offset_3,total_torso_BW_offset_4,total_torso_BW_offset_5,total_torso_BW_offset_6,total_torso_BW_offset_7,total_torso_BW_offset_8,total_torso_BW_offset_9,total_torso_BW_offset_10,U_centroid,U_bandwidth,mean_U1,mean_U2,mean_U3,sigma_U1,sigma_U2,sigma_U3,mean_V1,mean_V2,mean_V3,sigma_V1,sigma_V2,sigma_V3,Upeak1,Upeak2,Upeak3,Unegpeak1,Unegpeak2,Unegpeak3,Vpeak1,Vpeak2,Vpeak3,Vnegpeak1,Vnegpeak2,Vnegpeak3
1,1P36A01R01_SVD.mat,-0.135460472288962,-0.0963139091191964,-0.113248919911449,-0.956764338296767,-1.15229187625523,-0.975367776609825,-0.540379970129276,-0.12217723594602,-0.0700611399583648,-0.436562964792825,81930.0219598687,82002.9403629498,82047.1997394408,82145.711260959,82168.3222600843,81906.3169274739,82009.7812532311,81833.8627479871,82013.8979515451,82171.6318767874,-0.00409521873355176,-0.00462117745223929,-0.00441083716717366,0.00304553837971885,0.0044987557776635,0.00336775090119955,-0.000366042251436885,-0.00421424303198017,-0.00483620698555905,-0.00136152838423679,1.82710994813523,1.82510280262527,1.82438065574852,1.82258099335181,1.8214337540488,1.82787346778795,1.82598342361948,1.82904194547391,1.82494213966983,1.6564486547274,998.75,998.75,998.75,998.75,998.75,998.75,998.75,998.75,998.75,907.954545454545,998.75,998.75,998.75,998.75,998.75,998.75,998.75,998.75,998.75,907.954545454545,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-907.954545454545,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-907.954545454545,-0.0353436508570578,0.000228977450455357,-0.000300986689487706,0.000909603384610737,0.0353767149305342,0.0353761748808326,-0.031926055801842,-2.85096261187535e-05,0.000242784645094016,0.000308301270389898,0.0319438155146992,0.0319429046696459,-0.295386401479968,284.047826185095,0,1,8,1,1,2,2,5,11,0,2,8
2,1P36A01R02_SVD.mat,-1.21195833607405,-1.02322299685428,-0.480869516096372,-0.11602665282551,-0.0549847176722796,-0.605288119666387,-1.19254872567567,-1.12870013739426,-0.742624344776792,-0.209601348118841,82108.605693561,81879.742423025,82027.712815403,81857.6816225194,82026.5747333425,82169.5337377589,82018.1729480857,81920.7072699923,81999.3358358287,81964.8570245682,0.00510501020768877,0.00374940978273809,-0.000867890017644863,-0.00427359656877022,-0.00494842602248684,4.39408315483977e-05,0.00507805284071016,0.00456191181884047,0.00144477974082298,-0.00304743474108641,1.82278369046453,1.82832190162719,1.82569772586766,1.82847086716079,1.82458947867252,1.8222757666915,1.82505707797916,1.82715691696794,1.82636033199165,1.66055532002337,998.75,998.75,998.75,998.75,998.75,998.75,998.75,998.75,998.75,907.954545454545,998.75,998.75,998.75,998.75,998.75,998.75,998.75,998.75,998.75,907.954545454545,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-907.954545454545,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-907.954545454545,-0.0353429927903895,8.73611178118381e-06,0.000187226757839463,0.000934854566122264,0.0353774558038632,0.0353769608338314,-0.031925696278169,4.36262189160051e-05,-0.000245845527265507,0.000343553946953908,0.0319437984290573,0.0319428812346121,-0.743088862413871,283.959654786695,0,1,7,1,1,5,2,4,12,0,1,7
3,1P36A01R03_SVD.mat,-1.09115855451924,-0.697624689778381,-0.277724943766508,-0.0355905974808873,-0.106376611912374,-0.514066338784669,-1.16826548820024,-1.14105488618719,-0.983136497363052,-0.64134688493265,81912.3181649238,81920.16559622,81913.9620153345,81879.8399356732,82009.2058030871,82162.5273647415,82112.7106753101,82019.1645212158,81972.3357459622,82018.0679090183,0.00424536476680433,0.00103565602759471,-0.00277872265624846,-0.00511284129495073,-0.00445633488305487,-0.000740371036003634,0.00476664609347787,0.00449459364188724,0.00337585951789682,0.00045825303934673,1.82747799112895,1.82822758334983,1.82789816267935,1.82789996612349,1.8252842006256,1.82253827628529,1.82275091628275,1.82457336808893,1.82655713436284,1.66009549123227,998.75,998.75,998.75,998.75,998.75,998.75,998.75,998.75,998.75,907.954545454545,998.75,998.75,998.75,998.75,998.75,998.75,998.75,998.75,998.75,907.954545454545,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-907.954545454545,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-907.954545454545,-0.0353424536919848,-7.08298388565695e-05,-0.000368747483622135,0.000955043016759911,0.0353773858902047,0.0353755326558014,-0.0319255080982053,7.81676117154559e-05,0.000291112719359577,0.000360634291941581,0.0319437325128876,0.0319425003744822,-0.713800010469312,283.934312064442,0,1,7,1,1,4,1,5,12,0,1,11
4,1P37A01R01_SVD.mat,-0.271125345454759,-0.265753844958512,-1.00028972435903,-1.15618311695076,-1.02806758600897,-0.812491956339901,-0.290757941489479,-0.182313890414369,-0.136661670849905,-0.244726583967226,82157.9829182234,82090.111451787,82070.0202484548,82011.2102259735,81924.4528830356,82088.1575162314,81984.622433111,81997.183624603,82040.9440614853,82075.6122536272,-0.00292572183351946,-0.00292994834959996,0.00328455844562771,0.00455691535441011,0.00359620467945073,0.001839402749567,-0.0026255784548581,-0.00367307171299564,-0.00408907344806026,-0.00281922868499586,1.82208209715048,1.82358493546361,1.82388714984623,1.82478458202101,1.82700833585959,1.82418408285221,1.82600353854469,1.82519595947222,1.82424714400643,1.6580776319352,998.75,998.75,998.75,998.75,998.75,998.75,998.75,998.75,998.75,907.954545454545,998.75,998.75,998.75,998.75,998.75,998.75,998.75,998.75,998.75,907.954545454545,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-907.954545454545,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-907.954545454545,-0.0353439800593688,-1.87866509089715e-05,5.32131915039076e-05,0.000896704333250343,0.0353774518894378,0.0353774168132967,-0.0319259660025571,-5.38098153580496e-05,0.000192761077929319,0.000317473447870296,0.0319437828820334,0.0319432460547924,-0.455900921901494,284.122497674395,0,7,7,1,1,3,2,7,12,0,1,9
5,1P37A01R02_SVD.mat,-0.368006866618131,-0.158651627279733,-0.92428361767144,-1.1500446899768,-1.08093818647727,-0.845172659249503,-0.308362487641529,-0.152030070354482,-0.111747134016201,-0.497479343928213,82272.7977070262,82090.5692921472,82118.6431407604,82067.3763040161,81864.884759885,82041.4658166757,81956.4538414009,81885.8503833655,82057.4269290377,82148.1223091985,-0.00198444756927611,-0.00386511826310473,0.00272753875126406,0.00453395014371334,0.00400462908596473,0.00216754822486393,-0.00248417063370698,-0.00400679821740768,-0.00436451111603468,-0.000804136717251903,1.81986829616555,1.82348893128017,1.82293056804413,1.82349299012686,1.82822335227542,1.82521364915816,1.82691513052178,1.82761036928925,1.82374734107546,1.6568568623563,998.75,998.75,998.75,998.75,998.75,998.75,998.75,998.75,998.75,907.954545454545,998.75,998.75,998.75,998.75,998.75,998.75,998.75,998.75,998.75,907.954545454545,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-907.954545454545,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-907.954545454545,-0.0353441566454043,1.50843193917261e-05,0.000123990798149056,0.000889708098621807,0.0353774536639933,0.0353772393299737,-0.0319255800114014,1.5093367671355e-05,0.000203930124551611,0.000354204278994622,0.0319438246805717,0.0319431766318472,-0.495794353756518,284.143779732246,0,4,7,1,1,2,1,4,12,0,2,8
6,1P37A01R03_SVD.mat,-0.235327832898228,-0.395303024870395,-1.16897447128251,-1.17295953829895,-1.01583479293613,-0.577775959897035,-0.177486883857506,-0.142589477600228,-0.177972232586585,-0.84961734972855,82160.5528200254,82105.3616093676,82079.8625911277,81927.5916016462,81956.8677609312,82013.5005010087,81772.9938087055,82035.9221306971,82086.9196259563,82129.48951386,-0.00324527879665795,-0.0017961412366408,0.00478704054646034,0.00481769340494922,0.00353177122806732,-0.000167408002877559,-0.00372980134538173,-0.00409252122761033,-0.00374899846661305,0.00194542605062864,1.82185801066882,1.8235260159105,1.82338462399634,1.82663911198924,1.82649551177883,1.82586673897441,1.83038372947789,1.82424687623269,1.82339527952275,1.65733991440145,998.75,998.75,998.75,998.75,998.75,998.75,998.75,998.75,998.75,907.954545454545,998.75,998.75,998.75,998.75,998.75,998.75,998.75,998.75,998.75,907.954545454545,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-907.954545454545,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-907.954545454545,-0.0353438309790798,2.72395776801361e-05,-6.69062041175804e-05,0.000902568562354769,0.035377446383907,0.0353773935377772,-0.0319262718952199,3.02602003536541e-05,0.000173620716313457,0.000285021978951427,0.0319438139027138,0.0319433559344167,-0.552820094752552,284.06307830569,0,1,7,1,1,2,2,4,10,0,2,5
7,1P38A01R01_SVD.mat,-0.350214566224774,-0.257673515271248,-0.984802740525201,-1.11528588550596,-0.962299666498199,-0.378305974324308,-0.150536761725902,-0.122528140369975,-0.574483339038563,-1.14309210216184,82162.2840359054,82116.1382921639,82107.0211710444,82094.5478626214,82008.3126074854,82011.5859913617,81978.2348217168,82043.3314566676,82151.0341418064,82113.7117286166,-0.00223841995239363,-0.00304905368182561,0.00324585093657845,0.00425590004683671,0.00304058577410395,-0.00191541763333342,-0.00402675776004042,-0.00425120247781278,-0.000249375655568812,0.00410832457407826,1.82208709068789,1.82306381658287,1.82322149236169,1.82305822204225,1.8253367877086,1.82563046198946,1.82570968308657,1.82435698612311,1.82255401830388,1.65702626570496,998.75,998.75,998.75,998.75,998.75,998.75,998.75,998.75,998.75,907.954545454545,998.75,998.75,998.75,998.75,998.75,998.75,998.75,998.75,998.75,907.954545454545,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-907.954545454545,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-907.954545454545,-0.0353447342511657,-0.000102456676523243,-0.00016169689689099,0.000866428928612722,0.0353773083354396,0.035377086891938,-0.0319260548935835,0.000106923604590321,0.000167435534308628,0.000308395406452431,0.0319436491175024,0.0319433889874002,-0.578777717418369,284.250268069044,0,2,7,1,1,2,2,6,9,0,1,5
8,1P38A01R02_SVD.mat,-0.255031929737465,-0.478687037678258,-1.24719419674406,-0.896169405470451,-0.072081660880516,0.119520220963234,-0.628177173051552,-1.27155053174629,-0.955118983055834,-0.259020728877876,82186.5969291239,82102.1275813759,81978.7179279891,81816.5070159045,81807.5498069823,81938.1300189989,82096.8322342941,81997.6534829479,81857.2359630317,81819.6793842238,-0.00314554368240578,-0.00111273331968667,0.00548887196031904,0.00255288315815634,-0.00465571381934051,-0.00661466846967262,0.000209535158002246,0.00566041157670648,0.00317751307783741,-0.00272476952525795,1.8215508137827,1.82339435804504,1.82557150494716,1.82938544692073,1.82971367720809,1.82627952182286,1.82357398115076,1.82505078062917,1.82879395325017,1.66315825365984,998.75,998.75,998.75,998.75,998.75,998.75,998.75,998.75,998.75,907.954545454545,998.75,998.75,998.75,998.75,998.75,998.75,998.75,998.75,998.75,907.954545454545,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-907.954545454545,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-907.954545454545,-0.0353428984677532,-4.46593882303706e-05,8.39700155870623e-05,0.000938418181803939,0.0353774286602674,0.0353773571056574,-0.0319257106773941,4.64705567730252e-05,0.000132153459736468,0.000342211872256494,0.031943794413768,0.0319435546066406,-0.574221437357331,283.833331475365,0,1,7,1,1,2,2,4,9,0,2,5
9,1P38A01R03_SVD.mat,-0.135841562478057,-0.827726965644253,-1.24700361118356,-0.621326619669183,-0.0430671064365593,-0.00763030607470552,-0.996303901017705,-1.19621046821346,-0.543215760636505,-0.0157840751359077,82121.4455943612,82082.1803260092,81959.2676544689,81904.4733426249,81826.0708995663,82050.297573812,82121.2129272672,81994.2837360297,81921.5836042068,81858.220693737,-0.00417966354597629,0.00191828622850953,0.00548960809671774,0.000241753960525982,-0.00496280701228073,-0.00534872913706844,0.00337490099763463,0.00505686188335265,-0.000444391600381705,-0.00473474718563633,1.82286946758538,1.82384723906808,1.82587539632016,1.82798067749617,1.82897436065083,1.82413739012478,1.82296090685814,1.82522076767943,1.82763228215488,1.66209655665261,998.75,998.75,998.75,998.75,998.75,998.75,998.75,998.75,998.75,907.954545454545,998.75,998.75,998.75,998.75,998.75,998.75,998.75,998.75,998.75,907.954545454545,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-907.954545454545,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-907.954545454545,-0.0353432983641186,0.00010681432711973,-8.19000900460488e-05,0.000923215117177204,0.0353772954306786,0.0353773619642518,-0.0319260632859105,-5.67413195903227e-05,0.000197603336286865,0.000307524490176353,0.0319437778041777,0.0319432164370283,-0.515507655074623,283.919075266425,0,1,7,1,1,2,3,4,10,0,2,5
10,1P39A01R01_SVD.mat,-0.417187156213204,-1.0402877025623,-1.03606579402717,-0.973321085658931,-0.697885074302311,-0.226033314170963,-0.199495825853845,-0.177740340009193,-0.658814769583641,-1.09855917380256,82106.9937864113,82064.5925660072,82053.9751143493,82046.7607816967,82102.0367902622,82028.6556432199,82028.2445475968,82057.889033126,82097.6715479211,82095.2018331837,-0.0017707631055628,0.00354164732430986,0.0034852493460995,0.00296013855703283,0.000642985125098425,-0.00339478349763828,-0.00364613221409898,-0.0038400984207202,0.000285241825366544,0.00363270295027462,1.82346127350577,1.82413124517487,1.82411125131595,1.8243301449507,1.82369931925394,1.8249624961135,1.82474083594399,1.82416323243484,1.82355949461786,1.65743733869374,998.75,998.75,998.75,998.75,998.75,998.75,998.75,998.75,998.75,907.954545454545,998.75,998.75,998.75,998.75,998.75,998.75,998.75,998.75,998.75,907.954545454545,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-907.954545454545,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-998.75,-907.954545454545,-0.0353444016869761,1.50376761151894e-05,0.000170966773026163,0.000879907487277094,0.0353774536838753,0.0353770432533473,-0.0319260323757785,-7.38656685778932e-05,-0.000171364676983817,0.000310720135695869,0.0319437427606852,0.0319433681293572,-0.675977004428654,284.209885324255,0,1,9,1,1,5,1,6,14,0,2,12
